OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x4200003934b216, duration=483.248s, table=0, n_packets=7, n_bytes=294, send_flow_rem priority=40002,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=00:00:00:00:00:01,arp_spa=10.1.1.1 actions=CONTROLLER:65535,output:1
 cookie=0x420000bb304bb0, duration=483.232s, table=0, n_packets=57, n_bytes=4694, send_flow_rem priority=40001,ip,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=00:00:00:00:00:01,nw_src=10.1.1.1 actions=output:1
 cookie=0x4200000492f319, duration=483.190s, table=0, n_packets=4, n_bytes=168, send_flow_rem priority=40002,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=00:00:00:00:00:01,arp_spa=10.0.0.1 actions=CONTROLLER:65535,output:2
 cookie=0x4200000e635854, duration=483.173s, table=0, n_packets=19, n_bytes=1640, send_flow_rem priority=40001,ip,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=00:00:00:00:00:01,nw_src=10.0.0.1 actions=output:2
 cookie=0x42000026035f66, duration=483.224s, table=0, n_packets=6, n_bytes=252, send_flow_rem priority=40002,arp,in_port=1,vlan_tci=0x0000/0x1fff actions=CONTROLLER:65535,output:3
 cookie=0x420000b5538ff1, duration=483.191s, table=0, n_packets=3, n_bytes=126, send_flow_rem priority=40002,arp,in_port=2,vlan_tci=0x0000/0x1fff actions=CONTROLLER:65535,output:3
 cookie=0x4200009278662b, duration=483.258s, table=0, n_packets=4, n_bytes=332, send_flow_rem priority=40001,ip,in_port=1,vlan_tci=0x0000/0x1fff,dl_dst=00:00:00:00:00:01,nw_dst=10.1.1.1 actions=output:3
 cookie=0x4200007da347eb, duration=483.190s, table=0, n_packets=18, n_bytes=1561, send_flow_rem priority=40001,ip,in_port=2,vlan_tci=0x0000/0x1fff,dl_dst=00:00:00:00:00:01,nw_dst=10.0.0.1 actions=output:3
 cookie=0x4200007fbc181b, duration=483.214s, table=0, n_packets=53, n_bytes=4422, send_flow_rem priority=40001,ip,in_port=1,vlan_tci=0x0000/0x1fff,nw_proto=89 actions=output:3
 cookie=0x420000a082d684, duration=483.191s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=40001,ip,in_port=2,vlan_tci=0x0000/0x1fff,nw_proto=89 actions=output:3
 cookie=0x100007a585b6f, duration=543.803s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535
 cookie=0x100009465555a, duration=543.797s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535
 cookie=0x10000ea6f4b8e, duration=539.190s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=40000,arp actions=CONTROLLER:65535
 cookie=0x1000000ea1bfb, duration=494.424s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=5,arp actions=CONTROLLER:65535
 cookie=0xe00008bf31aa9, duration=483.313s, table=0, n_packets=571, n_bytes=55958, send_flow_rem in_port=1,vlan_tci=0x0000/0x1fff,dl_dst=00:00:00:00:00:01 actions=goto_table:1
 cookie=0xe000011ee0946, duration=483.297s, table=0, n_packets=571, n_bytes=55958, send_flow_rem in_port=2,vlan_tci=0x0000/0x1fff,dl_dst=00:00:00:00:00:01 actions=goto_table:1
 cookie=0xe000052648fa5, duration=483.286s, table=0, n_packets=0, n_bytes=0, send_flow_rem in_port=3,vlan_tci=0x0000/0x1fff,dl_dst=00:00:00:00:00:01 actions=goto_table:1
 cookie=0xe00005906f5fb, duration=483.302s, table=0, n_packets=0, n_bytes=0, send_flow_rem in_port=1,vlan_tci=0x0000/0x1fff,dl_dst=01:00:5e:00:00:00/ff:ff:ff:80:00:00 actions=goto_table:1
 cookie=0xe000073cad98b, duration=483.296s, table=0, n_packets=0, n_bytes=0, send_flow_rem in_port=2,vlan_tci=0x0000/0x1fff,dl_dst=01:00:5e:00:00:00/ff:ff:ff:80:00:00 actions=goto_table:1
 cookie=0x81000091d3dae5, duration=465.892s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=220,ip,in_port=2,nw_dst=10.1.2.0/24 actions=set_field:02:fd:00:00:04:01->eth_dst,output:1
 cookie=0x8100002fafb9dd, duration=403.027s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=220,ip,in_port=1,nw_dst=10.2.1.0/24 actions=set_field:02:fd:00:00:05:01->eth_dst,output:2
 cookie=0x7300008dc09e21, duration=0.195s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=1,dl_src=02:fd:00:00:04:01,dl_dst=00:00:00:00:00:01 actions=output:3
 cookie=0x7300004d510a89, duration=0.133s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=2,dl_src=02:fd:00:00:05:01,dl_dst=00:00:00:00:00:01 actions=output:3
 cookie=0x8400008db945b9, duration=543.930s, table=0, n_packets=18, n_bytes=1380, send_flow_rem priority=0 actions=drop
 cookie=0xe0000ef224aca, duration=465.886s, table=1, n_packets=433, n_bytes=42434, send_flow_rem priority=220,ip,nw_dst=10.1.2.0/24 actions=set_field:00:00:00:00:00:01->eth_src,set_field:02:fd:00:00:04:01->eth_dst,output:1
 cookie=0xe000063344cee, duration=403.011s, table=1, n_packets=565, n_bytes=55370, send_flow_rem priority=220,ip,nw_dst=10.2.1.0/24 actions=set_field:00:00:00:00:00:01->eth_src,set_field:02:fd:00:00:05:01->eth_dst,output:2
 cookie=0x1000029226b6a, duration=494.416s, table=1, n_packets=144, n_bytes=14112, send_flow_rem priority=5,ip actions=CONTROLLER:65535
 cookie=0x840000f545354b, duration=543.926s, table=1, n_packets=0, n_bytes=0, send_flow_rem priority=0 actions=drop
